LOCATION,MUNICIPALITY,POINT_OF_REFERENCE,NORTHINGS,EASTINGS
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",BLLM 1-A,"1,615,724.74","517,139.91"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",BLLM 2,"1,615,599.33","517,384.80"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",SUMO,"1,615,770.34","517,376.67"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",LOPEZ,"1,616,279.38","516,429.43"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",HILL,"1,616,357.83","516,842.25"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",REYMO,"1,615,197.99","520,159.72"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",HOTEL,"1,615,109.43","517,908.57"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",P-20,"1,614,765.60","515,615.61"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",TAK,"1,613,917.71","517,602.91"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",P-4,"1,613,647.56","515,451.73"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL","BLLM#4,CAINTA","1,614,073.98","514,991.51"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",BLLM#3 CAINTA,"1,614,351.48","514,424.70"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",ANTI,"1,612,676.92","517,845.58"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",BORAK,"1,614,130.74","519,809.22"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",HOSPITAL,"1,612,517.60","518,372.46"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",SILANG,"1,611,283.02","519,232.64"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",ROTA,"1,610,534.31","521,088.82"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",BLLM#3 ANGONO,"1,609,294.73","520,010.55"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",P-24,"1,610,727.43","517,479.05"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",NAHAR,"1,611,727.50","516,890.86"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",P-16,"1,609,303.04","519,403.71"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",BLLM#4 ANGONO,"1,608,879.99","520,295.14"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",LONG,"1,615,213.84","517,340.58"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",BLLM#12,"1,617,960.32","523,768.38"
ANTIPOLO MCAD-585,"ANTIPOLO, RIZAL",BLLM#13,"1,617,478.71","516,737.90"
ANTIPOLO CAD-29(Marikina sys),"ANTIPOLO, RIZAL",BLLM#1 Marikina,"1,618,143.91","510,178.81"
ANTIPOLO CAD-29(Marikina sys),"ANTIPOLO, RIZAL",BLLM#1 Bulao,"1,615,252.67","513,841.00"
ANTIPOLO CAD-29(Marikina sys),"ANTIPOLO, RIZAL",BLLM#1 Mayamot,"1,617,924.41","512,746.15"
